county,year,month,cumulative_total_doses,cumulative_fully_vaccinated,cumulative_at_least_one_dose,cumulative_up_to_date_count,id,Date
SAN MATEO,2023,4,2258366,671768,733468,266061,1754,b'2023-01'
SAN MATEO,2023,5,2272567,671919,734313,279554,1755,b'2023-01'
SAN MATEO,2023,6,2282277,672071,735053,288636,1756,b'2023-01'
SAN MATEO,2023,7,2288159,672172,735667,294014,1757,b'2023-01'
SAN MATEO,2023,8,2294241,672277,736227,299610,1758,b'2023-01'
SAN MATEO,2023,9,2295633,672298,736381,300831,1759,b'2023-01'
SANTA BARBARA,2020,1,0,0,0,0,1760,b'2020-01'
SANTA BARBARA,2020,7,0,0,0,0,1761,b'2020-01'
SANTA BARBARA,2020,8,4,0,4,0,1762,b'2020-01'
SANTA BARBARA,2020,9,8,3,5,0,1763,b'2020-01'
SANTA BARBARA,2020,10,8,3,5,0,1764,b'2020-01'
SANTA BARBARA,2020,11,13,5,10,0,1765,b'2020-01'
SANTA BARBARA,2020,12,5793,16,5776,0,1766,b'2020-01'
SANTA BARBARA,2021,1,46639,7427,39118,0,1767,b'2021-01'
SANTA BARBARA,2021,2,107472,39621,67515,0,1768,b'2021-01'
SANTA BARBARA,2021,3,222634,82203,147773,0,1769,b'2021-01'
SANTA BARBARA,2021,4,372837,162706,224529,0,1770,b'2021-01'
SANTA BARBARA,2021,5,448130,213417,251906,1,1771,b'2021-01'
SANTA BARBARA,2021,6,481589,235788,264487,2,1772,b'2021-01'
SANTA BARBARA,2021,7,502013,246023,275589,2,1773,b'2021-01'
SANTA BARBARA,2021,8,530000,257328,290441,5,1774,b'2021-01'
SANTA BARBARA,2021,9,556863,269266,299174,5,1775,b'2021-01'
SANTA BARBARA,2021,10,594174,277695,305661,7,1776,b'2021-01'
SANTA BARBARA,2021,11,648151,284346,316928,8,1777,b'2021-01'
SANTA BARBARA,2021,12,715950,294602,327413,11,1778,b'2021-01'
SANTA BARBARA,2022,1,766745,302010,337203,16,1779,b'2022-01'
SANTA BARBARA,2022,2,785988,307027,341071,21,1780,b'2022-02'
SANTA BARBARA,2022,3,797225,309530,343066,23,1781,b'2022-02'
SANTA BARBARA,2022,4,818920,311132,344531,25,1782,b'2022-02'
SANTA BARBARA,2022,5,836699,312363,345896,31,1783,b'2022-02'
SANTA BARBARA,2022,6,849156,313383,347247,33,1784,b'2022-02'
SANTA BARBARA,2022,7,860917,314445,349130,34,1785,b'2022-02'
SANTA BARBARA,2022,8,868060,315324,350478,41,1786,b'2022-02'
SANTA BARBARA,2022,9,891479,315879,351829,16649,1787,b'2022-02'
SANTA BARBARA,2022,10,918829,316409,353371,39679,1788,b'2022-02'
SANTA BARBARA,2022,11,936263,316828,354485,55016,1789,b'2022-02'
SANTA BARBARA,2022,12,949912,317203,355500,67145,1790,b'2022-02'
SANTA BARBARA,2023,1,956049,317494,356128,72469,1791,b'2023-02'
SANTA BARBARA,2023,2,959158,317730,356484,75023,1792,b'2023-02'
SANTA BARBARA,2023,3,961650,317939,356770,77067,1793,b'2023-02'
SANTA BARBARA,2023,4,964453,318039,356998,79610,1794,b'2023-02'
SANTA BARBARA,2023,5,969992,318072,357266,84945,1795,b'2023-02'
SANTA BARBARA,2023,6,972751,318099,357456,87586,1796,b'2023-02'
SANTA BARBARA,2023,7,974495,318118,357615,89230,1797,b'2023-02'
SANTA BARBARA,2023,8,976311,318142,357793,90932,1798,b'2023-02'
SANTA BARBARA,2023,9,976782,318146,357842,91358,1799,b'2023-02'
SANTA CLARA,2020,1,0,0,0,0,1800,b'2020-02'
SANTA CLARA,2020,7,1,0,1,0,1801,b'2020-02'
SANTA CLARA,2020,8,45,3,42,0,1802,b'2020-02'
SANTA CLARA,2020,9,135,53,82,0,1803,b'2020-02'
SANTA CLARA,2020,10,168,67,101,0,1804,b'2020-02'
SANTA CLARA,2020,11,221,93,150,0,1805,b'2020-02'
SANTA CLARA,2020,12,29552,169,29421,0,1806,b'2020-02'
SANTA CLARA,2021,1,201143,38736,161975,1,1807,b'2021-02'
SANTA CLARA,2021,2,495758,162859,331611,1,1808,b'2021-03'
SANTA CLARA,2021,3,1030387,405315,642234,2,1809,b'2021-03'
SANTA CLARA,2021,4,1872271,757775,1177019,5,1810,b'2021-03'
SANTA CLARA,2021,5,2452628,1178955,1343398,9,1811,b'2021-03'
SANTA CLARA,2021,6,2657349,1321965,1408367,14,1812,b'2021-03'
SANTA CLARA,2021,7,2748202,1371562,1450747,17,1813,b'2021-03'
SANTA CLARA,2021,8,2847594,1414669,1498035,20,1814,b'2021-03'
SANTA CLARA,2021,9,2943175,1450701,1524754,25,1815,b'2021-03'
SANTA CLARA,2021,10,3125320,1474211,1545336,33,1816,b'2021-03'
SANTA CLARA,2021,11,3513458,1506827,1628766,45,1817,b'2021-03'
SANTA CLARA,2021,12,3959132,1576939,1678017,88,1818,b'2021-03'
SANTA CLARA,2022,1,4239903,1608358,1715441,115,1819,b'2022-03'
SANTA CLARA,2022,2,4330771,1626521,1729027,127,1820,b'2022-03'
SANTA CLARA,2022,3,4380559,1634936,1737341,143,1821,b'2022-03'
SANTA CLARA,2022,4,4500790,1640918,1744248,154,1822,b'2022-03'
SANTA CLARA,2022,5,4607328,1646029,1750758,166,1823,b'2022-03'
SANTA CLARA,2022,6,4687845,1650212,1763509,175,1824,b'2022-03'
SANTA CLARA,2022,7,4759382,1657560,1778494,194,1825,b'2022-03'
SANTA CLARA,2022,8,4805042,1664983,1787959,215,1826,b'2022-03'
SANTA CLARA,2022,9,4943704,1671421,1796432,106647,1827,b'2022-03'
SANTA CLARA,2022,10,5130518,1675832,1806216,268709,1828,b'2022-03'
SANTA CLARA,2022,11,5274601,1678878,1814611,398969,1829,b'2022-03'
SANTA CLARA,2022,12,5377122,1681392,1822781,492671,1830,b'2022-03'
SANTA CLARA,2023,1,5421632,1683634,1827700,532010,1831,b'2023-03'
SANTA CLARA,2023,2,5441363,1685130,1830149,548520,1832,b'2023-03'
SANTA CLARA,2023,3,5457081,1686522,1832473,561324,1833,b'2023-03'
SANTA CLARA,2023,4,5471621,1687263,1834033,574271,1834,b'2023-03'
SANTA CLARA,2023,5,5496878,1687573,1835761,598314,1835,b'2023-03'
SANTA CLARA,2023,6,5513357,1687839,1837236,613646,1836,b'2023-03'
SANTA CLARA,2023,7,5523841,1688058,1838371,623225,1837,b'2023-03'
SANTA CLARA,2023,8,5535386,1688265,1839598,633892,1838,b'2023-03'
SANTA CLARA,2023,9,5538480,1688310,1839937,636667,1839,b'2023-04'
SANTA CRUZ,2020,1,0,0,0,0,1840,b'2020-04'
SANTA CRUZ,2020,7,0,0,0,0,1841,b'2020-04'
SANTA CRUZ,2020,8,2,0,2,0,1842,b'2020-04'
SANTA CRUZ,2020,9,8,3,5,0,1843,b'2020-04'
SANTA CRUZ,2020,10,9,4,5,0,1844,b'2020-04'
SANTA CRUZ,2020,11,13,5,9,0,1845,b'2020-04'
SANTA CRUZ,2020,12,4426,14,4413,0,1846,b'2020-04'
SANTA CRUZ,2021,1,31790,5132,26629,0,1847,b'2021-04'
SANTA CRUZ,2021,2,89133,28162,60838,0,1848,b'2021-04'
SANTA CRUZ,2021,3,168032,66433,103940,1,1849,b'2021-04'
SANTA CRUZ,2021,4,256975,110384,152325,1,1850,b'2021-04'
SANTA CRUZ,2021,5,315098,149856,172373,4,1851,b'2021-04'
SANTA CRUZ,2021,6,338304,166212,179874,4,1852,b'2021-04'
SANTA CRUZ,2021,7,349889,172194,185853,4,1853,b'2021-04'
SANTA CRUZ,2021,8,365123,178705,193182,5,1854,b'2021-04'
SANTA CRUZ,2021,9,378219,184242,196993,6,1855,b'2021-04'
SANTA CRUZ,2021,10,398182,187509,199654,6,1856,b'2021-04'
SANTA CRUZ,2021,11,443175,191212,208686,9,1857,b'2021-04'
SANTA CRUZ,2021,12,493844,198752,213907,14,1858,b'2021-04'
SANTA CRUZ,2022,1,529645,202554,218923,16,1859,b'2022-04'
SANTA CRUZ,2022,2,541565,205291,220916,21,1860,b'2022-04'
SANTA CRUZ,2022,3,549359,206773,222135,22,1861,b'2022-04'
SANTA CRUZ,2022,4,566944,207819,223076,22,1862,b'2022-04'
SANTA CRUZ,2022,5,582534,208548,223814,23,1863,b'2022-04'
SANTA CRUZ,2022,6,592595,209074,224851,25,1864,b'2022-04'
SANTA CRUZ,2022,7,601796,209825,226381,26,1865,b'2022-04'
SANTA CRUZ,2022,8,607340,210865,227298,33,1866,b'2022-04'
SANTA CRUZ,2022,9,626363,211459,228168,13414,1867,b'2022-04'
SANTA CRUZ,2022,10,651842,211845,229241,34699,1868,b'2022-04'
SANTA CRUZ,2022,11,669445,212121,230024,50468,1869,b'2022-05'
SANTA CRUZ,2022,12,680524,212344,230589,60562,1870,b'2022-05'
SANTA CRUZ,2023,1,684746,212506,230947,64237,1871,b'2023-05'
SANTA CRUZ,2023,2,687319,212658,231172,66414,1872,b'2023-05'
SANTA CRUZ,2023,3,689575,212794,231377,68308,1873,b'2023-05'
SANTA CRUZ,2023,4,692221,212869,231518,70728,1874,b'2023-05'
SANTA CRUZ,2023,5,697141,212888,231659,75470,1875,b'2023-05'
SANTA CRUZ,2023,6,699567,212902,231775,77805,1876,b'2023-05'
SANTA CRUZ,2023,7,701135,212916,231838,79303,1877,b'2023-05'
SANTA CRUZ,2023,8,702820,212928,231953,80900,1878,b'2023-05'
SANTA CRUZ,2023,9,703236,212932,231976,81288,1879,b'2023-05'
SHASTA,2020,1,0,0,0,0,1880,b'2020-05'
SHASTA,2020,7,0,0,0,0,1881,b'2020-05'
SHASTA,2020,8,116,0,116,0,1882,b'2020-05'
SHASTA,2020,9,286,129,157,0,1883,b'2020-05'
SHASTA,2020,10,331,156,175,0,1884,b'2020-05'
SHASTA,2020,11,343,167,176,0,1885,b'2020-05'
SHASTA,2020,12,2118,168,1951,0,1886,b'2020-05'
SHASTA,2021,1,15710,2727,12963,0,1887,b'2021-05'
SHASTA,2021,2,40586,13081,27442,0,1888,b'2021-05'
SHASTA,2021,3,73824,29765,46655,0,1889,b'2021-05'
SHASTA,2021,4,99761,45420,58078,0,1890,b'2021-05'
SHASTA,2021,5,112493,52695,64501,0,1891,b'2021-05'
SHASTA,2021,6,121326,58579,68291,1,1892,b'2021-05'
SHASTA,2021,7,127175,61440,71621,1,1893,b'2021-05'
SHASTA,2021,8,137162,65362,77917,3,1894,b'2021-05'
SHASTA,2021,9,148297,71037,82316,3,1895,b'2021-05'
SHASTA,2021,10,161541,74904,84947,3,1896,b'2021-05'
SHASTA,2021,11,178490,77897,87744,3,1897,b'2021-05'
SHASTA,2021,12,192326,80372,89850,4,1898,b'2021-05'
SHASTA,2022,1,202624,82134,91575,6,1899,b'2022-05'
SHASTA,2022,2,206854,83130,92278,6,1900,b'2022-06'
SHASTA,2022,3,209672,83673,92735,7,1901,b'2022-06'
SHASTA,2022,4,215305,84102,93117,7,1902,b'2022-06'
SHASTA,2022,5,219438,84444,93435,7,1903,b'2022-06'
SHASTA,2022,6,222325,84707,93730,7,1904,b'2022-06'
SHASTA,2022,7,224992,84940,94022,7,1905,b'2022-06'
SHASTA,2022,8,226696,85133,94302,8,1906,b'2022-06'
SHASTA,2022,9,231359,85233,94644,3746,1907,b'2022-06'
SHASTA,2022,10,239010,85331,95216,10661,1908,b'2022-06'
SHASTA,2022,11,243425,85400,95531,14709,1909,b'2022-06'
SHASTA,2022,12,246190,85442,95758,17257,1910,b'2022-06'
SHASTA,2023,1,247377,85475,95906,18318,1911,b'2023-06'
SHASTA,2023,2,247971,85507,95972,18842,1912,b'2023-06'
SHASTA,2023,3,248442,85530,96045,19248,1913,b'2023-06'
SHASTA,2023,4,248819,85548,96073,19596,1914,b'2023-06'
SHASTA,2023,5,249589,85550,96120,20342,1915,b'2023-06'
SHASTA,2023,6,249936,85551,96154,20679,1916,b'2023-06'
SHASTA,2023,7,250183,85551,96180,20917,1917,b'2023-06'
SHASTA,2023,8,250501,85553,96206,21220,1918,b'2023-06'
SHASTA,2023,9,250679,85554,96219,21390,1919,b'2023-06'
SIERRA,2020,1,0,0,0,0,1920,b'2020-06'
SIERRA,2020,7,0,0,0,0,1921,b'2020-06'
SIERRA,2020,8,0,0,0,0,1922,b'2020-06'
SIERRA,2020,9,0,0,0,0,1923,b'2020-06'
SIERRA,2020,10,0,0,0,0,1924,b'2020-06'
SIERRA,2020,11,0,0,0,0,1925,b'2020-06'
SIERRA,2020,12,82,0,82,0,1926,b'2020-06'
SIERRA,2021,1,462,69,391,0,1927,b'2021-06'
SIERRA,2021,2,1186,385,796,0,1928,b'2021-06'
SIERRA,2021,3,1939,811,1123,0,1929,b'2021-06'
SIERRA,2021,4,2352,1123,1222,0,1930,b'2021-07'
SIERRA,2021,5,2492,1206,1290,0,1931,b'2021-07'
SIERRA,2021,6,2595,1276,1333,0,1932,b'2021-07'
SIERRA,2021,7,2656,1308,1362,0,1933,b'2021-07'
SIERRA,2021,8,2782,1355,1447,0,1934,b'2021-07'
SIERRA,2021,9,2925,1431,1512,0,1935,b'2021-07'
SIERRA,2021,10,3076,1475,1551,0,1936,b'2021-07'
SIERRA,2021,11,3456,1500,1588,0,1937,b'2021-07'
SIERRA,2021,12,3724,1525,1618,0,1938,b'2021-07'
SIERRA,2022,1,3880,1544,1640,0,1939,b'2022-07'
SIERRA,2022,2,3949,1556,1654,0,1940,b'2022-07'
SIERRA,2022,3,3981,1566,1655,0,1941,b'2022-07'
SIERRA,2022,4,4075,1568,1663,0,1942,b'2022-07'
SIERRA,2022,5,4158,1572,1670,0,1943,b'2022-07'
SIERRA,2022,6,4211,1576,1677,0,1944,b'2022-07'
SIERRA,2022,7,4239,1578,1680,0,1945,b'2022-07'
SIERRA,2022,8,4280,1580,1684,0,1946,b'2022-07'
SIERRA,2022,9,4406,1582,1688,103,1947,b'2022-07'
SIERRA,2022,10,4549,1582,1701,240,1948,b'2022-07'
SIERRA,2022,11,4619,1585,1704,301,1949,b'2022-07'
SIERRA,2022,12,4662,1586,1708,339,1950,b'2022-07'
SIERRA,2023,1,4684,1589,1711,355,1951,b'2023-07'
SIERRA,2023,2,4693,1589,1711,363,1952,b'2023-07'
SIERRA,2023,3,4707,1589,1713,373,1953,b'2023-07'
SIERRA,2023,4,4717,1589,1714,383,1954,b'2023-07'
SIERRA,2023,5,4731,1589,1715,396,1955,b'2023-07'
SIERRA,2023,6,4742,1589,1715,405,1956,b'2023-07'
SIERRA,2023,7,4745,1589,1715,408,1957,b'2023-07'
SIERRA,2023,8,4753,1589,1715,416,1958,b'2023-07'
SIERRA,2023,9,4754,1589,1715,417,1959,b'2023-07'
SISKIYOU,2020,1,0,0,0,0,1960,b'2020-07'
SISKIYOU,2020,7,0,0,0,0,1961,b'2020-08'
SISKIYOU,2020,8,4,0,4,0,1962,b'2020-08'
SISKIYOU,2020,9,10,4,6,0,1963,b'2020-08'
SISKIYOU,2020,10,13,6,7,0,1964,b'2020-08'
SISKIYOU,2020,11,16,8,9,0,1965,b'2020-08'
SISKIYOU,2020,12,601,8,591,0,1966,b'2020-08'
SISKIYOU,2021,1,4620,583,4018,0,1967,b'2021-08'
SISKIYOU,2021,2,11973,3761,8175,0,1968,b'2021-08'
SISKIYOU,2021,3,21084,8406,13085,1,1969,b'2021-08'
SISKIYOU,2021,4,27766,12799,15622,1,1970,b'2021-08'
SISKIYOU,2021,5,31403,14780,17375,2,1971,b'2021-08'
SISKIYOU,2021,6,33711,16297,18218,3,1972,b'2021-08'
SISKIYOU,2021,7,35073,16981,18952,3,1973,b'2021-08'
SISKIYOU,2021,8,37287,17832,20327,5,1974,b'2021-08'
SISKIYOU,2021,9,39680,18907,21172,6,1975,b'2021-08'
SISKIYOU,2021,10,42701,19590,21724,6,1976,b'2021-08'
SISKIYOU,2021,11,47098,20067,22382,8,1977,b'2021-08'
SISKIYOU,2021,12,50662,20548,22963,11,1978,b'2021-08'
SISKIYOU,2022,1,53060,20905,23444,12,1979,b'2022-08'
SISKIYOU,2022,2,54093,21180,23621,12,1980,b'2022-08'
SISKIYOU,2022,3,54692,21286,23732,12,1981,b'2022-08'
SISKIYOU,2022,4,56443,21415,23857,12,1982,b'2022-08'
SISKIYOU,2022,5,57727,21515,23949,12,1983,b'2022-08'
SISKIYOU,2022,6,58510,21580,24018,14,1984,b'2022-08'
SISKIYOU,2022,7,59285,21642,24107,15,1985,b'2022-08'
SISKIYOU,2022,8,59690,21696,24156,16,1986,b'2022-08'
SISKIYOU,2022,9,60715,21709,24231,742,1987,b'2022-08'
SISKIYOU,2022,10,62993,21735,24369,2560,1988,b'2022-08'
SISKIYOU,2022,11,64482,21744,24448,3928,1989,b'2022-08'
SISKIYOU,2022,12,65367,21752,24495,4731,1990,b'2022-08'
SISKIYOU,2023,1,65696,21762,24520,5031,1991,b'2023-08'
SISKIYOU,2023,2,65861,21766,24545,5179,1992,b'2023-09'
SISKIYOU,2023,3,65983,21775,24552,5286,1993,b'2023-09'
SISKIYOU,2023,4,66127,21777,24558,5424,1994,b'2023-09'
SISKIYOU,2023,5,66497,21777,24565,5789,1995,b'2023-09'
SISKIYOU,2023,6,66659,21777,24573,5944,1996,b'2023-09'
SISKIYOU,2023,7,66788,21777,24574,6067,1997,b'2023-09'
SISKIYOU,2023,8,66965,21777,24590,6241,1998,b'2023-09'
SISKIYOU,2023,9,67009,21777,24590,6285,1999,b'2023-09'
SOLANO,2020,1,0,0,0,0,2000,b'2020-09'
SOLANO,2020,7,0,0,0,0,2001,b'2020-09'
SOLANO,2020,8,2,0,2,0,2002,b'2020-09'
SOLANO,2020,9,9,3,6,0,2003,b'2020-09'
SOLANO,2020,10,13,6,7,0,2004,b'2020-09'
SOLANO,2020,11,20,6,14,0,2005,b'2020-09'
SOLANO,2020,12,8794,13,8775,0,2006,b'2020-09'
SOLANO,2021,1,49118,10088,38946,0,2007,b'2021-09'
SOLANO,2021,2,123865,39127,84510,0,2008,b'2021-09'
SOLANO,2021,3,246375,92417,156385,0,2009,b'2021-09'
SOLANO,2021,4,366405,158044,215393,1,2010,b'2021-09'
SOLANO,2021,5,434897,199997,244445,3,2011,b'2021-09'
SOLANO,2021,6,472231,224119,259060,3,2012,b'2021-09'
SOLANO,2021,7,492703,234036,270343,3,2013,b'2021-09'
SOLANO,2021,8,523430,246732,287530,3,2014,b'2021-09'
SOLANO,2021,9,554602,261469,297473,4,2015,b'2021-09'
SOLANO,2021,10,596508,270365,304002,7,2016,b'2021-09'
SOLANO,2021,11,652899,277838,314786,12,2017,b'2021-09'
SOLANO,2021,12,711414,288776,323461,16,2018,b'2021-09'
SOLANO,2022,1,762540,296910,332116,23,2019,b'2022-09'
SOLANO,2022,2,782891,301998,335382,24,2020,b'2022-09'
SOLANO,2022,3,794255,304609,337159,26,2021,b'2022-09'
SOLANO,2022,4,819168,306291,338458,27,2022,b'2022-10'
SOLANO,2022,5,837029,307461,339630,30,2023,b'2022-10'
SOLANO,2022,6,850714,308429,341122,33,2024,b'2022-10'
SOLANO,2022,7,862985,309433,342792,36,2025,b'2022-10'
SOLANO,2022,8,871498,310434,344143,41,2026,b'2022-10'
SOLANO,2022,9,890178,311309,345171,13962,2027,b'2022-10'
SOLANO,2022,10,920823,311838,346520,40149,2028,b'2022-10'
SOLANO,2022,11,942959,312214,347599,59943,2029,b'2022-10'
SOLANO,2022,12,956079,312489,348313,71927,2030,b'2022-10'
SOLANO,2023,1,962460,312738,348830,77660,2031,b'2023-10'
SOLANO,2023,2,965598,312890,349123,80395,2032,b'2023-10'
SOLANO,2023,3,968230,313009,349415,82666,2033,b'2023-10'
SOLANO,2023,4,970279,313084,349595,84509,2034,b'2023-10'
SOLANO,2023,5,974510,313108,349750,88635,2035,b'2023-10'
SOLANO,2023,6,977149,313116,349909,91201,2036,b'2023-10'
SOLANO,2023,7,978922,313121,350052,92918,2037,b'2023-10'
SOLANO,2023,8,981320,313132,350239,95239,2038,b'2023-10'
SOLANO,2023,9,981906,313133,350277,95788,2039,b'2023-10'
SONOMA,2020,1,0,0,0,0,2040,b'2020-10'
SONOMA,2020,7,0,0,0,0,2041,b'2020-10'
SONOMA,2020,8,2,0,2,0,2042,b'2020-10'
SONOMA,2020,9,6,0,6,0,2043,b'2020-10'
SONOMA,2020,10,15,2,13,0,2044,b'2020-10'
SONOMA,2020,11,23,2,21,0,2045,b'2020-10'
SONOMA,2020,12,9186,19,9141,0,2046,b'2020-10'
SONOMA,2021,1,57673,11039,46521,0,2047,b'2021-10'
SONOMA,2021,2,173622,50657,122618,1,2048,b'2021-10'
SONOMA,2021,3,337804,135299,209330,1,2049,b'2021-10'
SONOMA,2021,4,497166,222637,287135,2,2050,b'2021-10'
SONOMA,2021,5,587460,281814,320795,2,2051,b'2021-10'
SONOMA,2021,6,626988,308901,334924,3,2052,b'2021-10'
SONOMA,2021,7,650743,320906,347790,3,2053,b'2021-11'
SONOMA,2021,8,682969,334812,363263,3,2054,b'2021-11'
SONOMA,2021,9,711624,346218,370668,4,2055,b'2021-11'
SONOMA,2021,10,756260,352995,375845,5,2056,b'2021-11'
SONOMA,2021,11,835041,359787,390457,8,2057,b'2021-11'
SONOMA,2021,12,929510,373552,401105,14,2058,b'2021-11'
SONOMA,2022,1,993477,381515,409611,19,2059,b'2022-11'
SONOMA,2022,2,1015915,386497,412817,25,2060,b'2022-11'
SONOMA,2022,3,1028684,388842,414676,25,2061,b'2022-11'
SONOMA,2022,4,1069555,390744,416065,31,2062,b'2022-11'
SONOMA,2022,5,1098440,392133,417395,34,2063,b'2022-11'
SONOMA,2022,6,1116525,393200,419306,36,2064,b'2022-11'
SONOMA,2022,7,1132257,394545,421815,40,2065,b'2022-11'
SONOMA,2022,8,1141788,396138,423328,45,2066,b'2022-11'
SONOMA,2022,9,1169884,397126,424463,18684,2067,b'2022-11'
SONOMA,2022,10,1215311,397806,425759,55084,2068,b'2022-11'
SONOMA,2022,11,1249979,398239,427116,85859,2069,b'2022-11'
SONOMA,2022,12,1272014,398657,428199,105854,2070,b'2022-11'
SONOMA,2023,1,1279617,399017,428853,112468,2071,b'2023-11'
SONOMA,2023,2,1283572,399245,429253,115769,2072,b'2023-11'
SONOMA,2023,3,1286620,399469,429606,118299,2073,b'2023-11'
SONOMA,2023,4,1290127,399569,429813,121516,2074,b'2023-11'
SONOMA,2023,5,1299170,399609,430113,130280,2075,b'2023-11'
SONOMA,2023,6,1304513,399632,430355,135456,2076,b'2023-11'
SONOMA,2023,7,1307109,399661,430478,137960,2077,b'2023-11'
SONOMA,2023,8,1310561,399678,430662,141276,2078,b'2023-11'
SONOMA,2023,9,1311344,399679,430727,141989,2079,b'2023-11'
STANISLAUS,2020,1,0,0,0,0,2080,b'2020-11'
STANISLAUS,2020,7,3,0,3,0,2081,b'2020-11'
STANISLAUS,2020,8,9,0,9,0,2082,b'2020-11'
STANISLAUS,2020,9,20,4,16,0,2083,b'2020-12'
STANISLAUS,2020,10,24,5,19,0,2084,b'2020-12'
STANISLAUS,2020,11,31,5,26,0,2085,b'2020-12'
STANISLAUS,2020,12,5518,22,5485,0,2086,b'2020-12'
STANISLAUS,2021,1,44399,7000,37299,0,2087,b'2021-12'
STANISLAUS,2021,2,110211,36699,73030,0,2088,b'2021-12'
STANISLAUS,2021,3,229867,86292,149303,0,2089,b'2021-12'
STANISLAUS,2021,4,351369,155119,205626,0,2090,b'2021-12'
STANISLAUS,2021,5,421031,197368,234868,0,2091,b'2021-12'
STANISLAUS,2021,6,462053,222424,251820,0,2092,b'2021-12'
STANISLAUS,2021,7,491014,236054,267599,0,2093,b'2021-12'
STANISLAUS,2021,8,533733,253195,292460,0,2094,b'2021-12'
STANISLAUS,2021,9,575400,274287,308454,1,2095,b'2021-12'
STANISLAUS,2021,10,615822,287403,317792,1,2096,b'2021-12'
STANISLAUS,2021,11,666677,296339,328608,1,2097,b'2021-12'
STANISLAUS,2021,12,721156,306065,338073,2,2098,b'2021-12'
STANISLAUS,2022,1,771256,314091,347836,5,2099,b'2022-12'
STANISLAUS,2022,2,797591,320926,352559,9,2100,b'2022-12'
STANISLAUS,2022,3,811454,324384,355014,11,2101,b'2022-12'
STANISLAUS,2022,4,827671,326252,356536,12,2102,b'2022-12'
STANISLAUS,2022,5,841524,327620,357769,15,2103,b'2022-12'
STANISLAUS,2022,6,851915,328749,358965,17,2104,b'2022-12'
STANISLAUS,2022,7,862488,329845,360415,19,2105,b'2022-12'
STANISLAUS,2022,8,870373,330914,361618,23,2106,b'2022-12'
STANISLAUS,2022,9,882860,331481,362351,9692,2107,b'2022-12'
STANISLAUS,2022,10,902397,331916,363117,26887,2108,b'2022-12'
STANISLAUS,2022,11,914646,332184,363682,37928,2109,b'2022-12'
STANISLAUS,2022,12,924287,332368,364178,46649,2110,b'2022-12'
STANISLAUS,2023,1,928884,332553,364550,50665,2111,b'2023-12'
STANISLAUS,2023,2,931215,332710,364797,52568,2112,b'2023-12'
STANISLAUS,2023,3,933068,332850,365044,54040,2113,b'2023-12'
STANISLAUS,2023,4,934395,332917,365187,55179,2114,b'2023-01'
STANISLAUS,2023,5,936226,332919,365313,56939,2115,b'2023-01'
STANISLAUS,2023,6,937559,332923,365459,58228,2116,b'2023-01'
STANISLAUS,2023,7,938434,332924,365565,59080,2117,b'2023-01'
STANISLAUS,2023,8,939766,332926,365687,60370,2118,b'2023-01'
STANISLAUS,2023,9,940144,332926,365718,60729,2119,b'2023-01'
SUTTER,2020,1,0,0,0,0,2120,b'2020-01'
SUTTER,2020,7,0,0,0,0,2121,b'2020-01'
SUTTER,2020,8,0,0,0,0,2122,b'2020-01'
SUTTER,2020,9,4,1,3,0,2123,b'2020-01'
SUTTER,2020,10,6,3,3,0,2124,b'2020-01'
SUTTER,2020,11,7,4,4,0,2125,b'2020-01'
SUTTER,2020,12,1003,5,999,0,2126,b'2020-01'
SUTTER,2021,1,8435,1368,7057,0,2127,b'2021-01'
SUTTER,2021,2,21876,6715,15114,0,2128,b'2021-01'
SUTTER,2021,3,43627,17224,27254,0,2129,b'2021-01'
SUTTER,2021,4,61916,28291,36349,0,2130,b'2021-01'
SUTTER,2021,5,73048,34721,41428,1,2131,b'2021-01'
SUTTER,2021,6,80347,39263,44346,1,2132,b'2021-01'
SUTTER,2021,7,85561,41827,47183,1,2133,b'2021-01'
SUTTER,2021,8,93381,44959,51884,1,2134,b'2021-01'
SUTTER,2021,9,100703,48979,54728,1,2135,b'2021-01'
SUTTER,2021,10,107463,51263,56288,1,2136,b'2021-01'
SUTTER,2021,11,116871,52804,57964,1,2137,b'2021-01'
SUTTER,2021,12,127530,54556,59829,2,2138,b'2021-01'
SUTTER,2022,1,136336,56081,61479,4,2139,b'2022-01'
SUTTER,2022,2,140695,57240,62281,4,2140,b'2022-01'
SUTTER,2022,3,143122,57918,62681,6,2141,b'2022-01'
SUTTER,2022,4,145880,58278,62978,6,2142,b'2022-01'
SUTTER,2022,5,148054,58491,63229,6,2143,b'2022-01'
SUTTER,2022,6,149672,58695,63459,6,2144,b'2022-01'
SUTTER,2022,7,151276,58873,63694,6,2145,b'2022-02'
SUTTER,2022,8,152386,59040,63904,6,2146,b'2022-02'
SUTTER,2022,9,154649,59151,64071,1715,2147,b'2022-02'
SUTTER,2022,10,157837,59243,64293,4512,2148,b'2022-02'
SUTTER,2022,11,160099,59316,64451,6503,2149,b'2022-02'
SUTTER,2022,12,161674,59366,64573,7910,2150,b'2022-02'
SUTTER,2023,1,162471,59432,64660,8553,2151,b'2023-02'
SUTTER,2023,2,162863,59472,64734,8830,2152,b'2023-02'
SUTTER,2023,3,163172,59505,64785,9046,2153,b'2023-02'
SUTTER,2023,4,163375,59519,64820,9203,2154,b'2023-02'
SUTTER,2023,5,163616,59522,64850,9428,2155,b'2023-02'
