county,state,fips,stayput,inflow,outflow,year
Hillsdale,MI,26059,33906,1154,1075,2018
Hinds,MS,28049,166123,5660,8397,2018
Hinsdale,CO,8053,595,0,0,2018
Hitchcock,NE,31087,2154,0,70,2018
Hocking,OH,39073,20563,906,800,2018
Hockley,TX,48219,16708,562,621,2018
Hodgeman,KS,20083,1481,0,0,2018
Hoke,NC,37093,34056,3251,2831,2018
Holmes,OH,39075,34722,869,955,2018
Holmes,FL,12059,11245,658,557,2018
Holmes,MS,28051,12478,197,277,2018
Holt,MO,29087,3602,0,39,2018
Holt,NE,31089,9059,0,38,2018
Honolulu,HI,15003,768619,28460,35797,2018
Hood,TX,48221,42888,3304,1981,2018
Hood River,OR,41027,20623,625,793,2018
Hooker,NE,31091,609,0,0,2018
Hopewell,VA,51670,15137,1389,1429,2018
Hopkins,TX,48223,27039,1101,924,2018
Hopkins,KY,21107,33247,738,730,2018
Horry,SC,45051,235804,14278,6993,2018
Hot Spring,AR,5059,21232,931,866,2018
Hot Springs,WY,56017,3440,0,0,2018
Houghton,MI,26061,24767,176,320,2018
Houston,MN,27055,16076,407,327,2018
Houston,TN,47083,5798,148,187,2018
Houston,AL,1069,74368,2909,2800,2018
Houston,TX,48225,13845,474,337,2018
Houston,GA,13153,116891,5207,4542,2018
Howard,NE,31093,5402,134,104,2018
Howard,TX,48227,21852,533,482,2018
Howard,MD,24027,265790,17719,15909,2018
Howard,IA,19089,7950,77,101,2018
Howard,IN,18067,65564,1949,1861,2018
Howard,MO,29089,7374,237,254,2018
Howard,AR,5061,9654,253,298,2018
Howell,MO,29091,28153,680,590,2018
Hubbard,MN,27057,16227,571,460,2018
Hudson,NJ,34017,491269,33284,43996,2018
Hudspeth,TX,48229,3894,323,176,2018
Huerfano,CO,8055,3947,105,62,2018
Hughes,SD,46065,14450,225,373,2018
Hughes,OK,40063,7936,165,237,2018
Humboldt,CA,6023,86627,2288,2547,2018
Humboldt,IA,19091,7897,126,141,2018
Humboldt,NV,32013,13559,251,278,2018
Humphreys,MS,28053,5816,48,0,2018
Humphreys,TN,47085,13675,366,326,2018
Hunt,TX,48231,66515,5576,3667,2018
Hunterdon,NJ,34019,108160,4606,3449,2018
Huntingdon,PA,42061,32658,641,691,2018
Huntington,IN,18069,29512,1008,861,2018
Huron,OH,39077,46932,1815,1897,2018
Huron,MI,26063,26519,469,509,2018
Hutchinson,SD,46067,5847,88,74,2018
Hutchinson,TX,48233,15791,303,329,2018
Hyde,SD,46069,1084,0,0,2018
Hyde,NC,37095,3355,0,0,2018
Iberia,LA,22045,53315,1612,2278,2018
Iberville,LA,22047,21767,989,1061,2018
Ida,IA,19093,5727,46,34,2018
Idaho,ID,16049,10992,186,227,2018
Imperial,CA,6025,161737,3761,4182,2018
Independence,AR,5063,26179,771,641,2018
Indian River,FL,12061,113585,5329,3379,2018
Indiana,PA,42063,60112,1223,1249,2018
Ingham,MI,26065,190027,9350,11152,2018
Inyo,CA,6027,13312,472,275,2018
Ionia,MI,26067,47553,2123,2000,2018
Iosco,MI,26069,18238,703,546,2018
Iowa,IA,19095,13960,420,321,2018
Iowa,WI,55049,20176,748,752,2018
Iredell,NC,37097,136880,6098,5014,2018
Irion,TX,48235,1190,56,42,2018
Iron,MI,26071,8551,50,43,2018
Iron,MO,29093,6599,202,196,2018
Iron,WI,55051,4673,93,45,2018
Iron,UT,49021,36845,2820,1358,2018
Iroquois,IL,17075,22713,676,641,2018
Irwin,GA,13155,6052,259,217,2018
Isabella,MI,26073,41299,1684,1921,2018
Isanti,MN,27059,31373,2264,1805,2018
Island,WA,53029,63667,4967,3812,2018
Isle of Wight,VA,51093,29564,1674,1318,2018
Issaquena,MS,28055,701,0,0,2018
Itasca,MN,27061,34795,627,610,2018
Itawamba,MS,28057,16444,721,825,2018
Izard,AR,5065,8130,303,217,2018
Jack,TX,48237,5695,187,206,2018
Jackson,NC,37099,23890,583,805,2018
Jackson,KS,20085,10767,253,217,2018
Jackson,MO,29095,507111,23921,26304,2018
Jackson,MN,27063,8514,105,101,2018
Jackson,MS,28059,102885,4049,3524,2018
Jackson,OH,39079,23408,627,574,2018
Jackson,WI,55053,15307,489,420,2018
Jackson,SD,46071,1921,0,43,2018
Jackson,FL,12063,29629,1001,967,2018
Jackson,TN,47087,7471,291,357,2018
Jackson,WV,54035,21336,419,362,2018
Jackson,IA,19097,16227,366,338,2018
Jackson,OK,40065,17596,256,407,2018
Jackson,KY,21109,8479,209,230,2018
Jackson,TX,48239,11579,369,356,2018
Jackson,MI,26075,116709,3324,3102,2018
Jackson,CO,8057,994,0,0,2018
Jackson,IN,18071,37533,1174,1259,2018
Jackson,GA,13157,51823,4997,3303,2018
Jackson,AR,5067,9394,381,313,2018
Jackson,OR,41029,162079,6017,4938,2018
Jackson,IL,17077,33802,1035,1345,2018
Jackson,AL,1071,36623,1080,1081,2018
Jackson,LA,22049,10574,395,330,2018
James,VA,51095,60459,2964,2689,2018
Jasper,GA,13159,9879,586,357,2018
Jasper,MO,29097,85855,3419,3590,2018
Jasper,MS,28061,12058,404,465,2018
Jasper,TX,48241,24423,1227,1114,2018
Jasper,IN,18073,26885,1099,866,2018
Jasper,IL,17079,8279,125,139,2018
Jasper,IA,19099,28900,1169,1035,2018
Jasper,SC,45053,17363,1178,961,2018
Jay,IN,18075,16919,355,430,2018
Jeff Davis,GA,13161,9906,216,196,2018
Jeff Davis,TX,48243,1559,0,0,2018
Jefferson,AL,1073,479791,16401,18836,2018
Jefferson,MS,28063,5167,72,75,2018
Jefferson,TN,47089,37062,2157,2009,2018
Jefferson,WA,53031,23764,1131,710,2018
Jefferson,IL,17081,28150,478,563,2018
Jefferson,ID,16051,23872,1519,1298,2018
Jefferson,WV,54037,43763,2172,1663,2018
Jefferson,KY,21111,578152,17932,22378,2018
Jefferson,CO,8059,442245,35769,33746,2018
Jefferson,IN,18077,24091,696,512,2018
Jefferson,IA,19101,11478,256,256,2018
Jefferson,MT,30043,9395,503,370,2018
Jefferson,OR,41031,16366,890,537,2018
Jefferson,AR,5069,46525,1096,1871,2018
Jefferson,TX,48245,177003,5680,8123,2018
Jefferson,WI,55055,68201,3270,2889,2018
Jefferson,MO,29099,178430,7671,6574,2018
Jefferson,PA,42065,35507,853,869,2018
Jefferson,OH,39081,47967,920,1082,2018
Jefferson,NE,31095,5759,64,144,2018
Jefferson,NY,36045,81080,4035,4940,2018
Jefferson,FL,12065,9224,366,343,2018
Jefferson,LA,22051,312185,14153,16377,2018
Jefferson,GA,13163,11778,154,265,2018
Jefferson,KS,20087,14778,718,626,2018
Jefferson,OK,40067,3673,52,162,2018
Jefferson Davis,LA,22053,23408,974,824,2018
Jefferson Davis,MS,28065,7811,312,221,2018
Jenkins,GA,13165,4990,117,172,2018
Jennings,IN,18079,21680,916,890,2018
Jerauld,SD,46073,1499,0,0,2018
Jerome,ID,16053,18448,810,893,2018
Jersey,IL,17083,17124,626,649,2018
Jessamine,KY,21113,38271,2068,2041,2018
Jewell,KS,20089,2427,0,0,2018
Jim Hogg,TX,48247,3706,0,0,2018
Jim Wells,TX,48249,29826,1112,1273,2018
Jo Daviess,IL,17085,18838,410,376,2018
Johnson,MO,29101,36124,1450,1624,2018
Johnson,KY,21115,14653,320,318,2018
Johnson,WY,56019,6681,117,130,2018
Johnson,KS,20091,496965,22333,21403,2018
Johnson,TN,47091,10888,151,48,2018
Johnson,AR,5071,17886,499,448,2018
Johnson,IL,17087,8516,187,150,2018
Johnson,NE,31097,3541,39,72,2018
Johnson,IA,19103,102595,3451,4403,2018
Johnson,IN,18081,124898,8134,6937,2018
Johnson,GA,13167,5173,167,133,2018
Johnson,TX,48251,129402,10485,7169,2018
Johnston,OK,40069,6943,259,308,2018
Johnston,NC,37101,149132,9804,6470,2018
Jones,NC,37103,6617,443,369,2018
Jones,GA,13169,20600,927,778,2018
Jones,TX,48253,10913,541,575,2018
Jones,IA,19105,15694,459,466,2018
Jones,SD,46075,807,0,0,2018
Jones,MS,28067,48579,1444,1157,2018
Josephine,OR,41033,58827,2361,1926,2018
Juab,UT,49023,9293,601,363,2018
Judith Basin,MT,30045,1496,0,0,2018
Juneau,WI,55057,19790,825,699,2018
Juneau,AK,2110,24803,340,246,2018
Juniata,PA,42067,19967,480,416,2018
Kalamazoo,MI,26077,193696,6709,6928,2018
Kalawao,HI,15005,0,0,0,2018
Kalkaska,MI,26079,13119,563,423,2018
Kanabec,MN,27065,12017,487,405,2018
Kanawha,WV,54039,133690,2581,3309,2018
Kandiyohi,MN,27067,36652,692,938,2018
Kane,IL,17089,446026,21912,21400,2018
Kane,UT,49025,5396,103,119,2018
Kankakee,IL,17091,85072,2330,1987,2018
Karnes,TX,48255,9564,166,265,2018
Kauai,HI,15007,56333,957,934,2018
Kaufman,TX,48257,97550,11578,6473,2018
Kay,OK,40071,31192,797,901,2018
Kearney,NE,31099,5413,152,180,2018
Kearny,KS,20093,3375,87,70,2018
Keith,NE,31101,6432,45,32,2018
Kemper,MS,28069,6113,130,184,2018
Kenai Peninsula,AK,2122,44325,820,808,2018
Kendall,IL,17093,107374,8405,5922,2018
Kendall,TX,48259,36750,2868,1811,2018
Kenedy,TX,48261,242,0,0,2018
Kennebec,ME,23011,91844,3305,3095,2018
Kenosha,WI,55059,132781,5501,4684,2018
Kent,DE,10001,131060,5629,3960,2018
Kent,MD,24029,13993,524,377,2018
Kent,TX,48263,549,0,0,2018
Kent,MI,26081,519985,18045,19627,2018
Kent,RI,44003,132956,6599,5923,2018
Kenton,KY,21117,125353,7554,8006,2018
Keokuk,IA,19107,7936,272,237,2018
Kern,CA,6029,664915,20232,17210,2018
Kerr,TX,48265,38441,1336,1154,2018
Kershaw,SC,45055,48100,2144,1561,2018
Ketchikan Gateway,AK,2130,10587,70,172,2018
Kewaunee,WI,55061,17284,531,564,2018
Keweenaw,MI,26083,1611,76,47,2018
Keya Paha,NE,31103,648,0,0,2018
Kidder,ND,38043,2038,54,0,2018
Kimball,NE,31105,2547,0,0,2018
Kimble,TX,48267,3199,0,37,2018
King,WA,53033,1737009,91056,102506,2018
King,TX,48269,219,0,0,2018
King George,VA,51099,19955,1123,912,2018
King William,VA,51101,13996,757,484,2018
King and Queen,VA,51097,4870,168,144,2018
Kingfisher,OK,40073,12428,421,399,2018
Kingman,KS,20095,5948,194,127,2018
Kings,CA,6031,106088,4453,4179,2018
Kings,NY,36047,1915392,80672,122805,2018
Kingsbury,SD,46077,4324,37,56,2018
Kinney,TX,48271,2303,0,0,2018
Kiowa,KS,20097,1850,0,0,2018
Kiowa,CO,8061,1010,0,0,2018
Kiowa,OK,40075,5759,47,49,2018
Kit Carson,CO,8063,5733,0,0,2018
Kitsap,WA,53035,204463,12386,10639,2018
Kittitas,WA,53037,29127,1869,1378,2018
Kittson,MN,27069,3664,0,0,2018
Klamath,OR,41035,46173,1531,1273,2018
Kleberg,TX,48273,21090,764,908,2018
Klickitat,WA,53039,16816,737,504,2018
Knott,KY,21119,8862,171,184,2018
Knox,TX,48275,2590,0,0,2018
Knox,NE,31107,6944,0,42,2018
Knox,TN,47093,339311,14004,13890,2018
Knox,IL,17095,37071,813,854,2018
Knox,KY,21121,19870,842,975,2018
Knox,MO,29103,3035,99,0,2018
Knox,OH,39083,46666,1564,1173,2018
Knox,IN,18083,27029,592,589,2018
Knox,ME,23013,30849,661,813,2018
Kodiak Island,AK,2150,10615,146,145,2018
Koochiching,MN,27071,9318,42,49,2018
Kootenai,ID,16055,125373,7014,4211,2018
Kosciusko,IN,18085,65925,1922,2270,2018
Kossuth,IA,19109,12634,124,103,2018
La Crosse,WI,55063,90216,2173,2588,2018
La Paz,AZ,4012,10498,383,367,2018
La Plata,CO,8067,40345,1208,1232,2018
La Salle,TX,48283,4229,48,42,2018
LaGrange,IN,18087,34280,1041,1279,2018
LaMoure,ND,38045,3375,0,0,2018
LaPorte,IN,18091,84127,2598,2232,2018
LaSalle,IL,17099,88575,2961,2610,2018
LaSalle,LA,22059,9781,154,166,2018
Labette,KS,20099,15487,270,350,2018
Lac qui Parle,MN,27073,5680,41,0,2018
Lackawanna,PA,42069,162076,3559,3283,2018
Laclede,MO,29105,26179,667,748,2018
Lafayette,MO,29107,25092,1120,896,2018
Lafayette,MS,28071,31984,1040,929,2018
Lafayette,FL,12067,4367,99,113,2018
Lafayette,LA,22055,175148,8089,7798,2018
Lafayette,AR,5073,4181,63,137,2018
Lafayette,WI,55065,14433,467,412,2018
Lafourche,LA,22057,71884,2410,2497,2018
Lake,TN,47095,3429,80,96,2018
Lake,MN,27075,8357,232,206,2018
Lake,CA,6033,41150,1998,1030,2018
Lake,CO,8065,4883,182,90,2018
Lake,OH,39085,191171,6150,5191,2018
Lake,SD,46079,10482,196,393,2018
Lake,OR,41037,5284,39,56,2018
Lake,FL,12069,254976,22138,13536,2018
Lake,MT,30047,21197,545,552,2018
Lake,IL,17097,607815,23165,25213,2018
Lake,MI,26085,7077,305,344,2018
Lake,IN,18089,376213,15615,14127,2018
Lake and Peninsula,AK,2164,1079,0,0,2018
Lake of the Woods,MN,27077,3090,0,35,2018
Lamar,GA,13171,11799,824,499,2018
Lamar,MS,28073,41846,2918,2494,2018
Lamar,TX,48277,36312,1056,861,2018
Lamar,AL,1075,9882,198,215,2018
Lamb,TX,48279,9728,198,240,2018
Lamoille,VT,50015,20387,601,579,2018
Lampasas,TX,48281,15289,901,734,2018
Lancaster,NE,31109,241419,5749,5900,2018
Lancaster,SC,45057,67570,3918,2772,2018
Lancaster,VA,51103,8683,110,85,2018
Lancaster,PA,42071,461683,9768,9981,2018
Lander,NV,32015,4287,53,74,2018
Lane,KS,20101,1373,0,0,2018
Lane,OR,41039,260005,10160,8727,2018
Langlade,WI,55067,15548,350,239,2018
Lanier,GA,13173,5687,295,372,2018
Lapeer,MI,26087,71289,3130,2853,2018
Laramie,WY,56021,76819,2410,1958,2018
Larimer,CO,8069,256687,14311,13144,2018
Larue,KY,21123,10638,499,485,2018
Las Animas,CO,8071,9219,87,98,2018
Lassen,CA,6035,16627,472,320,2018
Latah,ID,16057,25397,859,1152,2018
Latimer,OK,40077,6927,189,227,2018
Lauderdale,TN,47097,16389,435,636,2018
Lauderdale,MS,28075,52705,975,1129,2018
Lauderdale,AL,1077,64510,1656,1904,2018
Laurel,KY,21125,42221,1648,1383,2018
Laurens,GA,13175,34734,482,641,2018
Laurens,SC,45059,45316,2176,2042,2018
Lavaca,TX,48285,15826,511,436,2018
Lawrence,OH,39087,43076,1237,1064,2018
Lawrence,AR,5075,10562,342,436,2018
Lawrence,IL,17101,10521,218,263,2018
Lawrence,IN,18093,35652,815,813,2018
Lawrence,SD,46081,19055,477,788,2018
Lawrence,PA,42073,67654,1426,1495,2018
Lawrence,TN,47099,30806,876,723,2018
Lawrence,KY,21127,10434,218,278,2018
Lawrence,MO,29109,28371,1604,1499,2018
Lawrence,AL,1079,23667,906,933,2018
Lawrence,MS,28077,8734,108,219,2018
Le Flore,OK,40079,32274,943,835,2018
Le Sueur,MN,27079,23847,1308,1134,2018
Lea,NM,35025,53235,1101,1144,2018
Leake,MS,28079,15206,549,594,2018
Leavenworth,KS,20103,56064,3800,3511,2018
Lebanon,PA,42075,116472,3392,3001,2018
Lee,AR,5077,4694,115,164,2018
Lee,GA,13177,23622,1336,875,2018
Lee,NC,37105,44233,2262,1944,2018
Lee,IA,19111,25866,444,516,2018
Lee,MS,28081,64047,2618,2458,2018
Lee,IL,17103,26147,1008,876,2018
Lee,SC,45061,11160,441,549,2018
Lee,TX,48287,13400,499,513,2018
Lee,FL,12071,521086,32013,21546,2018
Lee,VA,51105,13754,104,131,2018
Lee,AL,1081,104863,5028,5193,2018
Lee,KY,21129,3801,0,38,2018
Leelanau,MI,26089,18234,690,721,2018
Leflore,MS,28083,20241,343,560,2018
Lehigh,PA,42077,293609,12746,12212,2018
Lemhi,ID,16059,5824,0,0,2018
Lenawee,MI,26091,76039,2238,2025,2018
Lenoir,NC,37107,38868,1274,2229,2018
Leon,TX,48289,12956,502,319,2018
Leon,FL,12073,182400,8242,9670,2018
Leslie,KY,21131,6665,0,82,2018
Letcher,KY,21133,13516,61,159,2018
Levy,FL,12075,27057,1585,1346,2018
Lewis,ID,16061,2863,121,150,2018
Lewis,WV,54041,12509,264,264,2018
Lewis,KY,21135,9080,137,118,2018
Lewis,MO,29111,7075,251,146,2018
Lewis,TN,47101,8457,210,173,2018
Lewis,NY,36049,20925,420,459,2018
Lewis,WA,53041,58805,3237,2102,2018
Lewis and Clark,MT,30049,53808,1649,1423,2018
Lexington,SC,45063,215450,11840,9763,2018
Lexington,VA,51678,3296,147,221,2018
Liberty,MT,30051,1504,0,0,2018
Liberty,TX,48291,57543,6066,3366,2018
Liberty,FL,12077,4483,122,125,2018
Liberty,GA,13179,39560,4592,5306,2018
Licking,OH,39089,136382,6429,5099,2018
Limestone,AL,1083,70893,4007,2766,2018
Limestone,TX,48293,15710,432,387,2018
Lincoln,OR,41041,33134,1749,1320,2018
Lincoln,WY,56023,15295,258,186,2018
Lincoln,NV,32017,3198,118,57,2018
Lincoln,SD,46083,49750,4047,2914,2018
Lincoln,NC,37109,63292,3927,2644,2018
Lincoln,OK,40081,23820,1437,1344,2018
Lincoln,ID,16063,3845,0,64,2018
Lincoln,CO,8073,3472,0,0,2018
Lincoln,MS,28085,25319,578,562,2018
Lincoln,TN,47103,26067,1027,874,2018
Lincoln,AR,5079,6887,162,127,2018
Lincoln,MO,29113,44471,2718,1705,2018
Lincoln,KY,21137,16843,830,770,2018
Lincoln,GA,13181,5473,161,71,2018
Lincoln,MT,30053,13370,222,252,2018
Lincoln,MN,27081,4745,41,47,2018
Lincoln,ME,23015,26992,981,883,2018
Lincoln,KS,20105,2422,0,37,2018
Lincoln,NM,35027,13552,376,381,2018
Lincoln,NE,31111,28113,296,469,2018
Lincoln,WA,53043,8067,251,242,2018
Lincoln,WV,54043,13734,385,463,2018
Lincoln,WI,55069,23072,511,517,2018
Lincoln,LA,22061,28655,886,1114,2018
Linn,OR,41043,91246,5572,3887,2018
Linn,MO,29115,9312,104,84,2018
Linn,IA,19113,180311,4356,4468,2018
Linn,KS,20107,7378,240,235,2018
Lipscomb,TX,48295,2602,0,0,2018
Litchfield,CT,9005,147031,5448,4558,2018
Little River,AR,5081,8375,276,296,2018
Live Oak,TX,48297,7766,239,175,2018
Livingston,MO,29117,10481,172,172,2018
Livingston,IL,17105,28110,817,911,2018
Livingston,LA,22063,97184,5371,3740,2018
Livingston,MI,26093,161456,7076,6212,2018
Livingston,NY,36051,45527,1502,1537,2018
Livingston,KY,21139,6499,261,298,2018
Llano,TX,48299,13420,863,581,2018
Logan,OH,39091,36212,1468,1166,2018
Logan,KS,20109,2351,0,47,2018
Logan,AR,5083,14678,408,468,2018
Logan,ND,38047,1633,0,0,2018
Logan,IL,17107,20619,481,461,2018
Logan,CO,8075,13844,210,292,2018
Logan,KY,21141,20360,589,590,2018
Logan,OK,40083,34274,2137,1891,2018
Logan,NE,31113,604,0,0,2018
Logan,WV,54045,21616,278,335,2018
Long,GA,13183,9306,1069,750,2018
Lonoke,AR,5085,53274,3058,2646,2018
Lorain,OH,39093,242187,8043,6351,2018
Los Alamos,NM,35028,16054,388,455,2018
Los Angeles,CA,6037,7743577,178480,264401,2018
Loudon,TN,47105,40806,2225,1909,2018
Loudoun,VA,51107,346551,22839,17909,2018
Louisa,VA,51109,27046,1670,977,2018
Louisa,IA,19115,8944,218,238,2018
Loup,NE,31115,462,0,0,2018
Love,OK,40085,7057,325,278,2018
Loving,TX,48301,62,0,0,2018
Lowndes,AL,1085,8038,346,428,2018
Lowndes,MS,28087,41675,969,954,2018
Lowndes,GA,13185,74020,3136,3252,2018
Lubbock,TX,48303,210419,8062,8014,2018
Lucas,OH,39095,314547,8227,9415,2018
Lucas,IA,19117,6933,39,147,2018
Luce,MI,26095,4016,0,0,2018
Lumpkin,GA,13187,19549,1141,950,2018
Luna,NM,35029,18489,280,394,2018
Lunenburg,VA,51111,7926,138,147,2018
Luzerne,PA,42079,245979,6456,5678,2018
Lycoming,PA,42081,88685,1345,1509,2018
Lyman,SD,46085,2751,0,0,2018
Lynchburg,VA,51680,46476,2365,3230,2018
Lynn,TX,48305,4345,267,187,2018
Lyon,IA,19119,10559,111,133,2018
Lyon,KS,20111,24359,327,414,2018
Lyon,NV,32019,42085,3620,2165,2018
Lyon,MN,27083,20582,268,493,2018
Lyon,KY,21143,4998,112,126,2018
Mackinac,MI,26097,8633,115,94,2018
Macomb,MI,26099,706575,26511,26967,2018
Macon,TN,47111,17118,771,547,2018
Macon,MO,29121,12146,171,279,2018
Macon,NC,37113,25426,360,294,2018
Macon,IL,17115,79565,1328,1646,2018
Macon,AL,1087,11211,344,538,2018
Macon,GA,13193,7293,102,249,2018
Macoupin,IL,17117,35544,1305,985,2018
Madera,CA,6039,118406,5242,4063,2018
Madison,MS,28089,84539,4412,3761,2018
Madison,IN,18095,96208,3301,3045,2018
Madison,IA,19121,13184,571,450,2018
Madison,MT,30057,6102,185,99,2018
Madison,TX,48313,8884,348,301,2018
Madison,VA,51113,10514,283,331,2018
Madison,NY,36053,51054,1927,1824,2018
Madison,TN,47113,71891,2812,2834,2018
Madison,GA,13195,21011,1231,872,2018
Madison,NC,37115,14362,591,522,2018
Madison,ID,16065,23865,1363,2890,2018
Madison,OH,39097,31139,1984,1615,2018
Madison,FL,12079,11717,200,168,2018
Madison,LA,22065,6940,112,134,2018
Madison,KY,21151,59883,2453,2242,2018
Madison,NE,31119,28492,750,814,2018
Madison,IL,17119,207997,5940,5734,2018
Madison,AL,1089,281372,10601,9577,2018
Madison,AR,5087,11663,589,518,2018
Madison,MO,29123,8589,186,223,2018
Magoffin,KY,21153,7609,116,136,2018
Mahaska,IA,19123,16953,381,492,2018
Mahnomen,MN,27087,3923,54,90,2018
Mahoning,OH,39099,172425,4598,4955,2018
Major,OK,40093,6087,92,167,2018
Malheur,OR,41045,19668,723,623,2018
Manassas,VA,51683,31718,3329,3544,2018
Manassas Park,VA,51685,12694,1613,1571,2018
Manatee,FL,12081,273624,18011,12175,2018
Manistee,MI,26101,17919,459,342,2018
Manitowoc,WI,55071,66504,1444,1414,2018
Marathon,WI,55073,115426,2575,2830,2018
Marengo,AL,1091,14368,208,268,2018
Maricopa,AZ,4013,3176063,147003,108909,2018
Maries,MO,29125,6290,200,296,2018
Marin,CA,6041,210263,9056,8903,2018
Marinette,WI,55075,32029,1064,913,2018
Marion,KY,21155,14546,375,420,2018
Marion,OR,41047,257694,12132,10656,2018
Marion,IL,17121,29472,591,669,2018
Marion,WV,54049,41621,941,989,2018
Marion,OH,39101,45461,1281,1153,2018
Marion,MO,29127,21247,689,684,2018
Marion,IA,19125,27072,650,649,2018
Marion,KS,20115,9377,208,272,2018
Marion,AL,1093,19001,655,725,2018
Marion,FL,12083,249739,12841,8313,2018
Marion,GA,13197,4700,105,103,2018
Marion,SC,45067,21397,561,792,2018
Marion,MS,28091,17338,392,477,2018
Marion,TN,47115,20587,656,626,2018
Marion,TX,48315,6216,240,306,2018
Marion,IN,18097,710291,34302,40369,2018
Marion,AR,5089,10481,345,453,2018
Mariposa,CA,6043,11565,456,304,2018
Marlboro,SC,45069,17346,278,344,2018
Marquette,MI,26103,48687,418,553,2018
Marquette,WI,55077,12221,590,447,2018
Marshall,TN,47117,25091,1442,954,2018
Marshall,MN,27089,7809,131,148,2018
Marshall,KS,20117,8712,0,33,2018
Marshall,OK,40095,10767,359,281,2018
Marshall,IN,18099,38452,1179,1264,2018
Marshall,IL,17123,9523,357,294,2018
Marshall,WV,54051,23263,459,554,2018
Marshall,SD,46091,3422,0,0,2018
Marshall,MS,28093,24378,1478,1264,2018
Marshall,AL,1095,70239,2497,2562,2018
Marshall,KY,21157,23854,780,692,2018
Marshall,IA,19127,32466,627,889,2018
Martin,FL,12085,113723,6389,5409,2018
Martin,NC,37117,16468,368,445,2018
Martin,MN,27091,16827,113,180,2018
Martin,KY,21159,6009,0,55,2018
Martin,TX,48317,4031,135,134,2018
Martin,IN,18101,7988,169,186,2018
Martinsville,VA,51690,8634,629,635,2018
Mason,WA,53045,43607,3318,2194,2018
Mason,WV,54053,18316,549,317,2018
Mason,KY,21161,12511,311,407,2018
Mason,IL,17125,10440,339,327,2018
Mason,TX,48319,3285,0,0,2018
Mason,MI,26105,22896,473,514,2018
Massac,IL,17127,10800,195,213,2018
Matagorda,TX,48321,27691,754,1044,2018
Matanuska-Susitna,AK,2170,77579,3140,2220,2018
Mathews,VA,51115,6660,136,83,2018
Maui,HI,15009,126920,2852,2526,2018
Maury,TN,47119,71800,4511,3659,2018
Maverick,TX,48323,52480,612,935,2018
Mayes,OK,40097,27960,1187,1251,2018
McClain,OK,40087,30456,2197,1888,2018
McCone,MT,30055,1514,0,0,2018
McCook,SD,46087,4673,155,100,2018
McCormick,SC,45065,6002,152,106,2018
McCracken,KY,21145,49452,1418,1491,2018
McCreary,KY,21147,9331,134,117,2018
McCulloch,TX,48307,5898,47,49,2018
McCurtain,OK,40089,22060,120,164,2018
McDonald,MO,29119,16016,838,871,2018
McDonough,IL,17109,18663,334,394,2018
McDowell,NC,37111,31471,779,646,2018
McDowell,WV,54047,10084,159,327,2018
McDuffie,GA,13189,15864,534,599,2018
McHenry,ND,38049,4703,68,94,2018
McHenry,IL,17111,269370,11747,10008,2018
McIntosh,GA,13191,7301,353,233,2018
McIntosh,OK,40091,11877,595,528,2018
McIntosh,ND,38051,2211,0,0,2018
McKean,PA,42083,30795,341,354,2018
McKenzie,ND,38053,7912,309,219,2018
McKinley,NM,35031,57119,2105,2984,2018
McLean,KY,21149,6934,278,229,2018
McLean,IL,17113,129973,3158,4067,2018
McLean,ND,38055,7924,137,169,2018
McLennan,TX,48309,182576,6239,6047,2018
McLeod,MN,27085,30788,1046,892,2018
McMinn,TN,47107,37575,1529,1297,2018
McMullen,TX,48311,611,0,0,2018
McNairy,TN,47109,18175,585,645,2018
McPherson,SD,46089,1683,0,0,2018
McPherson,KS,20113,23876,557,648,2018
McPherson,NE,31117,377,0,0,2018
Meade,KS,20119,3406,0,0,2018
Meade,SD,46093,21950,1449,1403,2018
Meade,KY,21163,21916,1260,1067,2018
Meagher,MT,30059,1229,0,0,2018
Mecklenburg,NC,37119,785639,54264,55557,2018
Mecklenburg,VA,51117,21798,454,371,2018
Mecosta,MI,26107,27428,1437,1245,2018
Medina,OH,39103,152337,6325,5181,2018
Medina,TX,48325,34967,2096,1492,2018
Meeker,MN,27093,19288,683,554,2018
Meigs,TN,47121,8468,596,495,2018
Meigs,OH,39105,15897,310,373,2018
Mellette,SD,46095,1259,0,0,2018
Menard,IL,17129,10233,348,299,2018
Menard,TX,48327,1485,0,0,2018
Mendocino,CA,6045,63598,1892,1550,2018
Menifee,KY,21165,4059,66,94,2018
Menominee,WI,55078,3154,111,132,2018
Menominee,MI,26109,17663,454,475,2018
Merced,CA,6047,208053,9079,6923,2018
Mercer,MO,29129,2762,0,0,2018
Mercer,IL,17131,13300,435,446,2018
Mercer,NJ,34021,283959,12187,13195,2018
Mercer,KY,21167,16629,576,502,2018
Mercer,WV,54055,40805,608,625,2018
Mercer,OH,39107,36282,661,699,2018
Mercer,ND,38057,7062,99,89,2018
Mercer,PA,42085,86089,1685,1795,2018
Meriwether,GA,13199,14131,819,752,2018
Merrick,NE,31121,6277,149,126,2018
Merrimack,NH,33013,116906,6561,4981,2018
Mesa,CO,8077,112321,3569,2753,2018
Metcalfe,KY,21169,7112,188,197,2018
Miami,IN,18103,25690,965,1012,2018
Miami,OH,39109,85707,3643,2815,2018
Miami,KS,20121,26616,1449,1164,2018
Miami-Dade,FL,12086,1970178,52381,86834,2018
Middlesex,CT,9007,129702,5743,5061,2018
