Date,Location,Demographic_Category,census,Up_to_date,Up_to_date_pct_agegroup
09/13/2023,OK,Male_Ages_75+_yrs,111886,47511,42.5
09/13/2023,MN,Ages_50-64_yrs,1100939,367420,33.4
09/13/2023,MN,Male_Ages_12-17_yrs,225207,33529,14.9
09/13/2023,NE,Female_Ages_65-74_yrs,93413,45773,49
09/13/2023,NE,Female_Ages_<2yrs,24674,473,1.9
09/13/2023,NE,Sex_Male,966449,158336,16.4
09/13/2023,NH,Female_Ages_<5yrs,31155,924,3
09/13/2023,NJ,Male_Ages_12-17_yrs,344043,26449,7.7
09/13/2023,NM,Ages_50-64_yrs,391195,120922,30.9
09/13/2023,PR,Male_Ages_5-11_yrs,115336,,
09/13/2023,PW,Female_Ages_<2yrs,231,,
09/13/2023,RI,Ages_65-74_yrs,106159,64281,60.6
09/13/2023,TN,Ages_75+_yrs,461997,157536,34.1
09/13/2023,TX,Ages_25-49_yrs,10072609,257294,2.6
09/13/2023,VT,Male_Ages_<2yrs,5705,499,8.7
09/13/2023,WA,Male_Ages_50-64_yrs,698402,213343,30.5
09/13/2023,WI,Ages_25-39_yrs,1114723,,
09/13/2023,AL,Ages_50-64_yrs,965332,100808,10.4
09/13/2023,AL,Female_Ages_18-24_yrs,224090,6381,2.8
09/13/2023,AR,Female_Ages_<2yrs,35753,129,0.4
09/13/2023,AS,Female_Ages_12-17_yrs,2719,,
09/13/2023,AZ,Ages_<2yrs,164994,1025,0.6
09/13/2023,AZ,Female_Ages_18-24_yrs,335382,30756,9.2
09/13/2023,CA,Male_Ages_5-11_yrs,1779726,121736,6.8
09/13/2023,CO,Female_Ages_50-64_yrs,534748,168575,31.5
09/13/2023,CT,Female_Ages_40-49_yrs,222325,47848,21.5
09/13/2023,DC,Ages_40-49_yrs,83623,37618,45
09/13/2023,DC,Female_Ages_25-49_yrs,161945,60378,37.3
09/13/2023,AL,Ages_75+_yrs,348390,89599,25.7
09/13/2023,AL,Male_Ages_50-64_yrs,462120,43561,9.4
09/13/2023,AR,Female_Ages_65-74_yrs,161754,50184,31
09/13/2023,AR,Male_Ages_50-64_yrs,274282,35648,13
09/13/2023,AS,Ages_2-4_yrs,2608,,
09/13/2023,CO,Male_Ages_12-17_yrs,223291,29023,13
09/13/2023,CT,Male_Ages_12-17_yrs,136608,16679,12.2
09/13/2023,CT,Male_Ages_40-49_yrs,210455,38706,18.4
09/13/2023,DC,Male_Ages_2-4_yrs,13459,315,2.3
09/13/2023,FL,Male_Ages_40-49_yrs,1283085,94601,7.4
09/13/2023,FM,Male_Ages_18-24_yrs,6524,,
09/13/2023,HI,Male_Ages_75+_yrs,48435,30061,62.1
09/13/2023,IL,Female_Ages_18-24_yrs,568721,69494,12.2
09/13/2023,IN,Ages_2-4_yrs,255646,618,0.2
09/13/2023,IN,Female_Ages_40-49_yrs,408803,38836,9.5
